voice,face,label
id10034\10.wav,id10034\18.jpg,1
id10011\2.wav,id10024\13.jpg,0
id10037\4.wav,id10013\30.jpg,0
id10022\11.wav,id10009\10.jpg,0
id10037\12.wav,id10037\29.jpg,1
id10015\5.wav,id10050\24.jpg,0
id10023\18.wav,id10018\19.jpg,0
id10006\23.wav,id10048\4.jpg,0
id10045\29.wav,id10045\29.jpg,1
id10018\6.wav,id10018\2.jpg,1
id10029\12.wav,id10029\28.jpg,1
id10014\9.wav,id10045\7.jpg,0
id10051\28.wav,id10051\1.jpg,1
id10011\9.wav,id10051\5.jpg,0
id10036\11.wav,id10036\9.jpg,1
id10039\4.wav,id10039\8.jpg,1
id10022\15.wav,id10043\22.jpg,0
id10045\18.wav,id10045\29.jpg,1
id10040\3.wav,id10040\19.jpg,1
id10024\9.wav,id10008\5.jpg,0
id10045\28.wav,id10045\12.jpg,1
id10010\5.wav,id10037\9.jpg,0
id10053\28.wav,id10053\3.jpg,1
id10017\20.wav,id10017\4.jpg,1
id10033\8.wav,id10024\21.jpg,0
id10041\3.wav,id10010\26.jpg,0
id10037\15.wav,id10037\12.jpg,1
id10030\11.wav,id10048\12.jpg,0
id10024\21.wav,id10024\1.jpg,1
id10017\1.wav,id10017\8.jpg,1
id10029\24.wav,id10046\17.jpg,0
id10037\29.wav,id10037\14.jpg,1
id10008\11.wav,id10038\11.jpg,0
id10028\29.wav,id10028\20.jpg,1
id10024\16.wav,id10024\19.jpg,1
id10017\27.wav,id10027\28.jpg,0
id10017\29.wav,id10017\12.jpg,1
id10047\28.wav,id10026\22.jpg,0
id10032\20.wav,id10012\9.jpg,0
id10012\28.wav,id10012\9.jpg,1
id10033\22.wav,id10033\1.jpg,1
id10008\18.wav,id10008\7.jpg,1
id10030\7.wav,id10030\8.jpg,1
id10040\8.wav,id10055\27.jpg,0
id10028\12.wav,id10028\5.jpg,1
id10034\15.wav,id10034\2.jpg,1
id10055\29.wav,id10009\17.jpg,0
id10038\29.wav,id10038\23.jpg,1
id10008\21.wav,id10008\21.jpg,1
id10006\16.wav,id10015\1.jpg,0
id10049\15.wav,id10018\15.jpg,0
id10009\4.wav,id10030\22.jpg,0
id10054\13.wav,id10054\30.jpg,1
id10018\10.wav,id10044\9.jpg,0
id10054\20.wav,id10054\9.jpg,1
id10028\14.wav,id10028\15.jpg,1
id10017\25.wav,id10024\12.jpg,0
id10038\24.wav,id10038\20.jpg,1
id10052\16.wav,id10052\29.jpg,1
id10026\12.wav,id10026\23.jpg,1
id10020\14.wav,id10028\29.jpg,0
id10020\20.wav,id10023\1.jpg,0
id10007\16.wav,id10007\1.jpg,1
id10022\14.wav,id10022\18.jpg,1
id10031\14.wav,id10031\29.jpg,1
id10011\22.wav,id10011\20.jpg,1
id10049\19.wav,id10049\27.jpg,1
id10032\30.wav,id10032\24.jpg,1
id10036\15.wav,id10024\27.jpg,0
id10022\8.wav,id10008\18.jpg,0
id10045\8.wav,id10045\17.jpg,1
id10014\11.wav,id10010\26.jpg,0
id10014\11.wav,id10048\14.jpg,0
id10046\28.wav,id10018\30.jpg,0
id10049\30.wav,id10049\11.jpg,1
id10023\17.wav,id10023\5.jpg,1
id10009\19.wav,id10009\19.jpg,1
id10010\16.wav,id10010\14.jpg,1
id10022\3.wav,id10023\10.jpg,0
id10009\7.wav,id10009\19.jpg,1
id10023\11.wav,id10036\1.jpg,0
id10023\4.wav,id10023\13.jpg,1
id10051\10.wav,id10051\11.jpg,1
id10017\6.wav,id10017\30.jpg,1
id10019\1.wav,id10019\27.jpg,1
id10033\9.wav,id10016\12.jpg,0
id10009\21.wav,id10008\26.jpg,0
id10032\24.wav,id10035\28.jpg,0
id10006\13.wav,id10031\26.jpg,0
id10050\29.wav,id10050\1.jpg,1
id10015\10.wav,id10015\13.jpg,1
id10012\17.wav,id10012\2.jpg,1
id10008\25.wav,id10038\4.jpg,0
id10029\23.wav,id10024\3.jpg,0
id10008\25.wav,id10008\30.jpg,1
id10044\1.wav,id10008\1.jpg,0
id10034\7.wav,id10010\20.jpg,0
id10010\13.wav,id10010\14.jpg,1
id10055\16.wav,id10030\10.jpg,0
id10023\17.wav,id10051\25.jpg,0
id10052\24.wav,id10039\26.jpg,0
id10038\11.wav,id10053\13.jpg,0
id10055\6.wav,id10037\18.jpg,0
id10028\16.wav,id10028\5.jpg,1
id10013\23.wav,id10013\27.jpg,1
id10035\14.wav,id10035\24.jpg,1
id10023\28.wav,id10023\14.jpg,1
id10009\16.wav,id10009\16.jpg,1
id10010\18.wav,id10010\4.jpg,1
id10036\23.wav,id10011\25.jpg,0
id10007\6.wav,id10028\26.jpg,0
id10048\24.wav,id10030\16.jpg,0
id10022\22.wav,id10022\22.jpg,1
id10026\11.wav,id10026\28.jpg,1
id10044\1.wav,id10044\14.jpg,1
id10045\16.wav,id10045\4.jpg,1
id10055\16.wav,id10033\21.jpg,0
id10033\28.wav,id10018\19.jpg,0
id10049\15.wav,id10049\15.jpg,1
id10012\30.wav,id10012\14.jpg,1
id10012\2.wav,id10012\13.jpg,1
id10047\14.wav,id10050\6.jpg,0
id10049\12.wav,id10045\8.jpg,0
id10012\18.wav,id10037\16.jpg,0
id10018\18.wav,id10018\8.jpg,1
id10035\27.wav,id10035\11.jpg,1
id10014\19.wav,id10014\14.jpg,1
id10038\13.wav,id10038\22.jpg,1
id10044\15.wav,id10044\5.jpg,1
id10006\13.wav,id10014\7.jpg,0
id10033\1.wav,id10033\12.jpg,1
id10013\21.wav,id10013\10.jpg,1
id10020\24.wav,id10020\20.jpg,1
id10040\24.wav,id10051\29.jpg,0
id10027\5.wav,id10027\22.jpg,1
id10007\27.wav,id10007\10.jpg,1
id10047\8.wav,id10047\7.jpg,1
id10031\14.wav,id10018\22.jpg,0
id10019\23.wav,id10047\1.jpg,0
id10012\28.wav,id10012\27.jpg,1
id10049\10.wav,id10049\23.jpg,1
id10042\6.wav,id10007\5.jpg,0
id10041\4.wav,id10030\28.jpg,0
id10054\19.wav,id10054\28.jpg,1
id10025\3.wav,id10024\19.jpg,0
id10045\24.wav,id10031\12.jpg,0
id10017\29.wav,id10017\15.jpg,1
id10052\15.wav,id10052\11.jpg,1
id10051\2.wav,id10016\28.jpg,0
id10008\15.wav,id10027\9.jpg,0
id10046\24.wav,id10046\30.jpg,1
id10054\7.wav,id10054\7.jpg,1
id10034\30.wav,id10034\2.jpg,1
id10023\24.wav,id10007\9.jpg,0
id10014\14.wav,id10037\14.jpg,0
id10020\12.wav,id10043\8.jpg,0
id10019\29.wav,id10019\14.jpg,1
id10026\1.wav,id10026\5.jpg,1
id10019\15.wav,id10019\3.jpg,1
id10033\5.wav,id10022\2.jpg,0
id10023\11.wav,id10023\3.jpg,1
id10033\18.wav,id10033\17.jpg,1
id10008\19.wav,id10018\21.jpg,0
id10016\17.wav,id10016\13.jpg,1
id10035\5.wav,id10021\5.jpg,0
id10055\22.wav,id10022\19.jpg,0
id10049\28.wav,id10029\29.jpg,0
id10042\15.wav,id10042\25.jpg,1
id10040\2.wav,id10031\10.jpg,0
id10031\15.wav,id10031\19.jpg,1
id10033\28.wav,id10033\28.jpg,1
id10022\28.wav,id10022\23.jpg,1
id10032\11.wav,id10032\7.jpg,1
id10034\14.wav,id10034\24.jpg,1
id10022\20.wav,id10054\17.jpg,0
id10038\13.wav,id10038\15.jpg,1
id10024\20.wav,id10024\16.jpg,1
id10042\5.wav,id10043\25.jpg,0
id10032\7.wav,id10033\18.jpg,0
id10009\4.wav,id10038\8.jpg,0
id10041\28.wav,id10016\26.jpg,0
id10033\19.wav,id10033\4.jpg,1
id10030\22.wav,id10055\13.jpg,0
id10030\29.wav,id10030\27.jpg,1
id10014\7.wav,id10014\24.jpg,1
id10055\30.wav,id10055\22.jpg,1
id10029\4.wav,id10006\28.jpg,0
id10018\6.wav,id10046\14.jpg,0
id10055\22.wav,id10039\24.jpg,0
id10038\19.wav,id10048\22.jpg,0
id10019\15.wav,id10019\6.jpg,1
id10039\21.wav,id10027\10.jpg,0
id10027\13.wav,id10027\2.jpg,1
id10055\21.wav,id10054\6.jpg,0
id10038\10.wav,id10033\24.jpg,0
id10054\24.wav,id10033\3.jpg,0
id10042\20.wav,id10009\24.jpg,0
id10030\14.wav,id10032\4.jpg,0
id10054\29.wav,id10054\1.jpg,1
id10037\4.wav,id10033\5.jpg,0
id10025\27.wav,id10025\22.jpg,1
id10016\11.wav,id10020\6.jpg,0
id10039\20.wav,id10039\2.jpg,1
id10014\11.wav,id10029\27.jpg,0
id10032\30.wav,id10008\16.jpg,0
id10051\10.wav,id10007\14.jpg,0
id10008\19.wav,id10008\18.jpg,1
id10013\9.wav,id10022\13.jpg,0
id10011\2.wav,id10028\10.jpg,0
id10029\5.wav,id10029\4.jpg,1
id10007\22.wav,id10007\10.jpg,1
id10006\2.wav,id10006\12.jpg,1
id10031\14.wav,id10021\21.jpg,0
id10022\19.wav,id10055\26.jpg,0
id10049\11.wav,id10049\4.jpg,1
id10017\11.wav,id10017\26.jpg,1
id10055\14.wav,id10055\10.jpg,1
id10031\23.wav,id10006\10.jpg,0
id10029\12.wav,id10029\30.jpg,1
id10025\14.wav,id10025\6.jpg,1
id10051\29.wav,id10051\17.jpg,1
id10027\6.wav,id10027\29.jpg,1
id10035\16.wav,id10055\15.jpg,0
id10011\12.wav,id10025\2.jpg,0
id10013\3.wav,id10013\18.jpg,1
id10046\13.wav,id10048\10.jpg,0
id10038\14.wav,id10011\28.jpg,0
id10053\9.wav,id10050\2.jpg,0
id10007\22.wav,id10007\22.jpg,1
id10023\4.wav,id10023\14.jpg,1
id10020\11.wav,id10026\6.jpg,0
id10043\28.wav,id10018\28.jpg,0
id10016\27.wav,id10016\26.jpg,1
id10020\10.wav,id10015\23.jpg,0
id10011\27.wav,id10011\23.jpg,1
id10040\8.wav,id10040\5.jpg,1
id10033\29.wav,id10054\23.jpg,0
id10035\5.wav,id10035\29.jpg,1
id10031\6.wav,id10031\14.jpg,1
id10055\13.wav,id10018\27.jpg,0
id10013\1.wav,id10040\17.jpg,0
id10055\11.wav,id10017\25.jpg,0
id10018\18.wav,id10051\27.jpg,0
id10055\4.wav,id10034\9.jpg,0
id10011\28.wav,id10011\26.jpg,1
id10036\2.wav,id10036\8.jpg,1
id10026\14.wav,id10026\7.jpg,1
id10017\24.wav,id10032\20.jpg,0
id10023\11.wav,id10023\13.jpg,1
id10007\27.wav,id10015\29.jpg,0
id10039\16.wav,id10039\12.jpg,1
id10047\30.wav,id10038\9.jpg,0
id10008\18.wav,id10038\26.jpg,0
id10011\28.wav,id10011\6.jpg,1
id10052\19.wav,id10031\30.jpg,0
id10017\6.wav,id10032\18.jpg,0
id10029\21.wav,id10017\17.jpg,0
id10027\22.wav,id10050\22.jpg,0
id10028\29.wav,id10018\2.jpg,0
id10011\15.wav,id10019\2.jpg,0
id10051\18.wav,id10051\12.jpg,1
id10010\29.wav,id10010\24.jpg,1
id10045\1.wav,id10013\6.jpg,0
id10042\21.wav,id10025\11.jpg,0
id10047\18.wav,id10008\15.jpg,0
id10019\19.wav,id10019\10.jpg,1
id10026\18.wav,id10011\25.jpg,0
id10051\19.wav,id10051\27.jpg,1
id10012\19.wav,id10012\29.jpg,1
id10011\28.wav,id10011\5.jpg,1
id10012\12.wav,id10031\10.jpg,0
id10041\16.wav,id10041\1.jpg,1
id10030\3.wav,id10055\26.jpg,0
id10034\29.wav,id10040\18.jpg,0
id10022\16.wav,id10019\3.jpg,0
id10047\29.wav,id10047\7.jpg,1
id10017\14.wav,id10017\18.jpg,1
id10024\23.wav,id10024\1.jpg,1
id10055\6.wav,id10047\8.jpg,0
id10038\23.wav,id10006\9.jpg,0
id10020\3.wav,id10020\19.jpg,1
id10045\23.wav,id10045\4.jpg,1
id10007\21.wav,id10051\29.jpg,0
id10016\26.wav,id10009\23.jpg,0
id10009\9.wav,id10009\21.jpg,1
id10028\13.wav,id10028\3.jpg,1
id10012\4.wav,id10020\28.jpg,0
id10037\5.wav,id10051\8.jpg,0
id10041\28.wav,id10046\10.jpg,0
id10035\16.wav,id10022\17.jpg,0
id10019\5.wav,id10019\27.jpg,1
id10007\5.wav,id10007\23.jpg,1
id10010\13.wav,id10046\23.jpg,0
id10041\24.wav,id10021\12.jpg,0
id10053\19.wav,id10051\2.jpg,0
id10028\19.wav,id10007\5.jpg,0
id10039\10.wav,id10031\6.jpg,0
id10051\2.wav,id10040\24.jpg,0
id10030\6.wav,id10033\5.jpg,0
id10040\29.wav,id10041\4.jpg,0
id10041\14.wav,id10041\5.jpg,1
id10023\6.wav,id10042\17.jpg,0
id10009\1.wav,id10046\21.jpg,0
id10010\27.wav,id10051\7.jpg,0
id10040\24.wav,id10040\27.jpg,1
id10012\13.wav,id10012\14.jpg,1
id10017\14.wav,id10048\20.jpg,0
id10020\18.wav,id10020\8.jpg,1
id10039\5.wav,id10039\20.jpg,1
id10037\27.wav,id10037\16.jpg,1
id10037\18.wav,id10015\21.jpg,0
id10048\15.wav,id10051\30.jpg,0
id10010\16.wav,id10026\6.jpg,0
id10024\7.wav,id10024\3.jpg,1
id10024\1.wav,id10047\8.jpg,0
id10028\1.wav,id10028\13.jpg,1
id10051\10.wav,id10051\23.jpg,1
id10009\16.wav,id10055\28.jpg,0
id10018\1.wav,id10045\6.jpg,0
id10019\17.wav,id10019\27.jpg,1
id10009\10.wav,id10021\5.jpg,0
id10029\27.wav,id10037\12.jpg,0
id10051\17.wav,id10051\12.jpg,1
id10034\5.wav,id10039\3.jpg,0
id10046\16.wav,id10044\25.jpg,0
id10021\13.wav,id10007\4.jpg,0
id10028\26.wav,id10051\3.jpg,0
id10055\25.wav,id10055\25.jpg,1
id10043\5.wav,id10043\29.jpg,1
id10012\7.wav,id10012\18.jpg,1
id10053\29.wav,id10015\3.jpg,0
id10026\28.wav,id10041\16.jpg,0
id10008\15.wav,id10008\19.jpg,1
id10036\20.wav,id10036\2.jpg,1
id10031\16.wav,id10047\28.jpg,0
id10047\19.wav,id10047\20.jpg,1
id10026\21.wav,id10025\14.jpg,0
id10008\20.wav,id10008\28.jpg,1
id10046\3.wav,id10013\25.jpg,0
id10009\6.wav,id10010\27.jpg,0
id10021\25.wav,id10040\26.jpg,0
id10052\17.wav,id10025\10.jpg,0
id10039\15.wav,id10006\4.jpg,0
id10049\17.wav,id10049\15.jpg,1
id10007\27.wav,id10033\8.jpg,0
id10045\10.wav,id10045\1.jpg,1
id10017\15.wav,id10054\15.jpg,0
id10021\25.wav,id10030\4.jpg,0
id10049\12.wav,id10014\7.jpg,0
id10032\13.wav,id10025\22.jpg,0
id10006\8.wav,id10006\7.jpg,1
id10036\27.wav,id10036\20.jpg,1
id10025\8.wav,id10026\11.jpg,0
id10015\28.wav,id10023\15.jpg,0
id10036\24.wav,id10011\4.jpg,0
id10016\9.wav,id10031\29.jpg,0
id10027\7.wav,id10037\27.jpg,0
id10039\14.wav,id10039\16.jpg,1
id10036\10.wav,id10037\24.jpg,0
id10047\25.wav,id10020\24.jpg,0
id10051\22.wav,id10051\26.jpg,1
id10024\11.wav,id10011\19.jpg,0
id10035\29.wav,id10035\19.jpg,1
id10009\9.wav,id10009\1.jpg,1
id10027\30.wav,id10027\17.jpg,1
id10036\7.wav,id10036\18.jpg,1
id10016\11.wav,id10036\6.jpg,0
id10025\16.wav,id10025\16.jpg,1
id10007\24.wav,id10022\29.jpg,0
id10031\9.wav,id10031\13.jpg,1
id10009\20.wav,id10009\17.jpg,1
id10006\29.wav,id10022\17.jpg,0
id10010\23.wav,id10010\13.jpg,1
id10024\15.wav,id10051\5.jpg,0
id10049\27.wav,id10049\18.jpg,1
id10039\30.wav,id10029\27.jpg,0
id10006\11.wav,id10054\4.jpg,0
id10052\14.wav,id10021\26.jpg,0
id10029\7.wav,id10051\26.jpg,0
id10033\17.wav,id10021\15.jpg,0
id10049\5.wav,id10016\25.jpg,0
id10051\9.wav,id10041\24.jpg,0
id10023\6.wav,id10050\8.jpg,0
id10034\14.wav,id10034\29.jpg,1
id10034\22.wav,id10033\23.jpg,0
id10036\2.wav,id10008\5.jpg,0
id10014\11.wav,id10030\23.jpg,0
id10051\12.wav,id10051\29.jpg,1
id10024\7.wav,id10039\8.jpg,0
id10045\10.wav,id10024\7.jpg,0
id10006\26.wav,id10006\4.jpg,1
id10032\6.wav,id10032\21.jpg,1
id10027\11.wav,id10016\5.jpg,0
id10028\15.wav,id10028\11.jpg,1
id10016\18.wav,id10024\20.jpg,0
id10039\28.wav,id10039\25.jpg,1
id10049\9.wav,id10049\10.jpg,1
id10054\11.wav,id10054\28.jpg,1
id10034\23.wav,id10049\27.jpg,0
id10042\14.wav,id10052\26.jpg,0
id10016\1.wav,id10039\15.jpg,0
id10028\20.wav,id10028\20.jpg,1
id10025\2.wav,id10025\25.jpg,1
id10013\9.wav,id10013\29.jpg,1
id10006\24.wav,id10006\10.jpg,1
id10018\5.wav,id10018\17.jpg,1
id10016\18.wav,id10016\28.jpg,1
id10033\3.wav,id10033\25.jpg,1
id10034\7.wav,id10010\5.jpg,0
id10015\1.wav,id10007\16.jpg,0
id10033\14.wav,id10014\2.jpg,0
id10010\10.wav,id10027\10.jpg,0
id10016\19.wav,id10021\1.jpg,0
id10048\25.wav,id10048\22.jpg,1
id10033\17.wav,id10033\26.jpg,1
id10037\12.wav,id10013\6.jpg,0
id10015\21.wav,id10022\24.jpg,0
id10046\10.wav,id10046\29.jpg,1
id10036\8.wav,id10008\4.jpg,0
id10055\1.wav,id10007\27.jpg,0
id10049\19.wav,id10046\23.jpg,0
id10018\18.wav,id10018\24.jpg,1
id10019\16.wav,id10031\30.jpg,0
id10027\20.wav,id10038\5.jpg,0
id10012\20.wav,id10031\5.jpg,0
id10010\1.wav,id10010\15.jpg,1
id10023\24.wav,id10023\28.jpg,1
id10039\20.wav,id10034\11.jpg,0
id10039\27.wav,id10039\5.jpg,1
id10051\15.wav,id10027\8.jpg,0
id10039\2.wav,id10020\9.jpg,0
id10035\29.wav,id10033\4.jpg,0
id10030\30.wav,id10006\30.jpg,0
id10020\21.wav,id10033\9.jpg,0
id10012\10.wav,id10012\29.jpg,1
id10046\27.wav,id10046\22.jpg,1
id10020\11.wav,id10020\21.jpg,1
id10044\1.wav,id10052\6.jpg,0
id10019\2.wav,id10054\11.jpg,0
id10039\10.wav,id10047\24.jpg,0
id10052\11.wav,id10040\15.jpg,0
id10008\21.wav,id10052\24.jpg,0
id10019\20.wav,id10019\29.jpg,1
id10028\3.wav,id10028\15.jpg,1
id10046\22.wav,id10046\18.jpg,1
id10044\24.wav,id10044\13.jpg,1
id10050\12.wav,id10050\10.jpg,1
id10055\3.wav,id10055\8.jpg,1
id10018\26.wav,id10018\10.jpg,1
id10053\9.wav,id10021\5.jpg,0
id10053\6.wav,id10007\12.jpg,0
id10013\19.wav,id10013\13.jpg,1
id10029\17.wav,id10012\16.jpg,0
id10045\6.wav,id10045\29.jpg,1
id10020\8.wav,id10023\26.jpg,0
id10015\6.wav,id10015\5.jpg,1
id10008\1.wav,id10021\15.jpg,0
id10030\4.wav,id10030\28.jpg,1
id10012\17.wav,id10041\10.jpg,0
id10009\18.wav,id10020\1.jpg,0
id10029\12.wav,id10029\18.jpg,1
id10017\12.wav,id10051\3.jpg,0
id10015\12.wav,id10015\21.jpg,1
id10038\21.wav,id10038\28.jpg,1
id10020\21.wav,id10021\29.jpg,0
id10045\5.wav,id10045\10.jpg,1
id10052\30.wav,id10052\27.jpg,1
id10014\10.wav,id10010\23.jpg,0
id10053\22.wav,id10030\14.jpg,0
id10018\25.wav,id10018\9.jpg,1
id10047\5.wav,id10047\27.jpg,1
id10040\1.wav,id10006\27.jpg,0
id10007\7.wav,id10007\28.jpg,1
id10049\9.wav,id10050\19.jpg,0
id10027\14.wav,id10048\9.jpg,0
id10009\18.wav,id10053\24.jpg,0
id10037\16.wav,id10037\2.jpg,1
id10021\1.wav,id10021\23.jpg,1
id10046\16.wav,id10025\17.jpg,0
id10006\4.wav,id10006\11.jpg,1
id10027\28.wav,id10027\11.jpg,1
id10024\24.wav,id10007\1.jpg,0
